id_encuestado,fecha_respuesta,edad_rango,genero,ciudad,nivel_educativo,tipo_celular,dispositivo_principal,acceso_internet,nivel_manejo_celular,comodidad_apps,frecuencia_uso_apps,apps_usadas,uso_principal_celular,dificultades,miedos,interes_clases_presenciales,interes_simuladores,apps_deseadas,app_prioritaria,dias_disponibles,horarios_disponibles,frecuencia_posible_semana,duracion_preferida_clase,tiempo_desplazamiento,lugar_preferido_clases,tipo_clase_preferida,limitaciones,disposicion_pago,entidad_ideal,contacto_interes
11,2025-12-09,40-49,Masculino,Barranquilla,Profesional,Smartphone,Tablet,Datos moviles,3,Neutral,Rara vez,WhatsApp,Mapas,"Olvida contrasenas, No entiende botones",Dañar celular,Tal vez,No me interesa,"Redes sociales, WhatsApp, Compras",Mapas,Viernes,"Manana, Noche",Depende,1 hora,21-40,Alcaldia,Individual,Memoria,Solo si es gratis,Universidad,No
12,2025-12-13,70-79,Femenino,Puerto Colombia,Ninguno,No tiene,Tablet,Datos moviles,4,Muy incomodo,A veces,"Google Maps, WhatsApp, Ninguna","No lo usa, Mapas","No sabe descargar apps, Olvida contrasenas",Ninguno,Si,Util,"Compras, Redes sociales",Redes sociales,Viernes,"Tarde, Manana",3 veces o mas,1 hora,11-20,Alcaldia,Grupo grande,Memoria,No,Fundacion,Si
13,2025-11-28,70-79,Prefiero no decirlo,Soledad,Primaria,Celular basico,Computador,WiFi,2,Neutral,Rara vez,YouTube,Llamadas,No sabe descargar apps,Ninguno,Si,No me interesa,"Salud, Redes sociales",Redes sociales,"Jueves, Sabado",Manana,1 vez,30 min,40+,Biblioteca,Grupo pequeno,Ninguna,No,Alcaldia,Si
14,2025-11-15,40-49,Masculino,Soledad,Profesional,No tiene,Computador,Datos moviles,5,Muy comodo,Todos los dias,"Correo, YouTube, Ninguna","Videos, Mensajes","Ninguna, No sabe descargar apps",Perder dinero,Tal vez,No me interesa,Correo,Banca,"Miercoles, Sabado",Manana,2 veces,45 min,40+,Biblioteca,Grupo pequeno,Vista,No,Fundacion,No
15,2025-11-27,70-79,Masculino,Barranquilla,Bachillerato,Celular basico,Ninguno,No tiene,1,Muy comodo,Todos los dias,"WhatsApp, Google Maps","Mapas, No lo usa",No sabe descargar apps,Perder dinero,Tal vez,No me interesa,"WhatsApp, Salud",Mapas,"Sabado, Jueves, Martes","Manana, Noche",Depende,30 min,0-10,Alcaldia,Grupo pequeno,Memoria,Si,Alcaldia,No
16,2025-12-02,60-69,Femenino,Galapa,Tecnico/Tecnologo,Celular basico,Ninguno,Datos moviles,4,Neutral,Nunca,"WhatsApp, Banca",Videos,No entiende botones,Estafas,Si,Util,WhatsApp,Correo,Martes,Tarde,1 vez,45 min,40+,Universidad,Grupo grande,Audicion,Solo si es gratis,Familia,Si
17,2025-11-20,50-59,Masculino,Barranquilla,Ninguno,Smartphone,Computador,No tiene,4,Comodo,Rara vez,Banca,Llamadas,"Ninguna, No entiende botones",Ninguno,Si,Poco util,"Compras, Redes sociales, Google Maps",WhatsApp,"Sabado, Miercoles, Lunes","Tarde, Manana",Depende,1 hora,40+,Biblioteca,Indiferente,Audicion,Solo si es gratis,Familia,No
18,2025-11-25,80+,Masculino,Galapa,Profesional,No tiene,Computador,Datos moviles,2,Muy incomodo,A veces,"YouTube, Correo","Videos, Llamadas","Olvida contrasenas, Miedo a danar celular",No entender,Si,Poco util,"Redes sociales, Google Maps",Correo,"Miercoles, Viernes, Lunes",Manana,2 veces,1.5 horas,40+,Biblioteca,Indiferente,Memoria,No,Alcaldia,Si
19,2025-12-05,50-59,Masculino,Soledad,Tecnico/Tecnologo,No tiene,Computador,Datos moviles,5,Muy comodo,A veces,"Ninguna, Banca","Videos, Mapas","Olvida contrasenas, Ninguna",Perder dinero,Si,Util,"Banca, Redes sociales",Correo,"Martes, Sabado, Viernes","Tarde, Noche",1 vez,45 min,21-40,Biblioteca,Grupo grande,Audicion,No,Alcaldia,Si
20,2025-12-06,40-49,Femenino,Puerto Colombia,Tecnico/Tecnologo,No tiene,Tablet,No tiene,4,Muy incomodo,Nunca,"Google Maps, Correo, Banca","Videos, Mensajes",Olvida contrasenas,No entender,Si,Muy util,"Gobierno, WhatsApp",Correo,"Sabado, Lunes, Martes",Noche,3 veces o mas,30 min,11-20,Barrio,Indiferente,Ninguna,Solo si es gratis,Familia,Si
21,2025-11-20,80+,Masculino,Galapa,Profesional,Celular basico,Ninguno,Datos moviles,5,Muy comodo,Nunca,"Ninguna, WhatsApp, YouTube",Videos,Miedo a danar celular,Perder dinero,Si,Muy util,WhatsApp,Salud,"Sabado, Viernes","Tarde, Manana",2 veces,1 hora,21-40,Alcaldia,Individual,Audicion,No,Familia,Si
22,2025-12-01,40-49,Prefiero no decirlo,Soledad,Bachillerato,Celular basico,Tablet,WiFi,1,Incomodo,A veces,"Ninguna, Banca, Google Maps","Llamadas, Mapas","No sabe descargar apps, Olvida contrasenas",Ninguno,No,No me interesa,"Banca, Correo",WhatsApp,"Sabado, Miercoles","Manana, Noche",2 veces,30 min,21-40,Barrio,Grupo pequeno,Memoria,Solo si es gratis,Fundacion,No
23,2025-12-09,80+,Masculino,Galapa,Primaria,Celular basico,Computador,Datos moviles,3,Neutral,Nunca,Google Maps,"No lo usa, Mapas","No sabe descargar apps, No entiende botones",No entender,Si,Poco util,"Redes sociales, WhatsApp",Salud,"Lunes, Viernes, Jueves","Manana, Noche",3 veces o mas,1.5 horas,40+,Barrio,Grupo pequeno,Motricidad,Solo si es gratis,Universidad,No
24,2025-11-30,70-79,Femenino,Barranquilla,Ninguno,Smartphone,Tablet,Datos moviles,5,Muy incomodo,Todos los dias,YouTube,Mapas,Miedo a danar celular,No entender,No,Poco util,"Correo, Salud, Compras",Salud,Jueves,Tarde,2 veces,45 min,0-10,Universidad,Indiferente,Motricidad,Solo si es gratis,Empresa privada,Si
25,2025-12-05,60-69,Prefiero no decirlo,Puerto Colombia,Profesional,Smartphone,Ninguno,No tiene,4,Neutral,A veces,"Banca, Correo, Ninguna","Mensajes, No lo usa","Miedo a danar celular, No sabe descargar apps",Estafas,Tal vez,No me interesa,"Compras, Salud, Redes sociales",Redes sociales,Jueves,Manana,3 veces o mas,30 min,40+,Barrio,Indiferente,Vista,Solo si es gratis,Universidad,No
26,2025-11-17,50-59,Femenino,Galapa,Tecnico/Tecnologo,Celular basico,Ninguno,No tiene,1,Neutral,Todos los dias,"Ninguna, Correo",Tramites,Miedo a danar celular,Dañar celular,Si,Muy util,"Banca, Compras",Redes sociales,"Lunes, Jueves, Martes","Manana, Noche",3 veces o mas,30 min,21-40,Universidad,Grupo grande,Memoria,Si,Universidad,No
27,2025-11-26,50-59,Femenino,Soledad,Primaria,No tiene,Ninguno,No tiene,2,Comodo,Rara vez,Correo,"Mapas, Videos",No sabe descargar apps,Dañar celular,No,Util,Gobierno,Mapas,"Miercoles, Jueves, Sabado","Tarde, Manana",Depende,1.5 horas,0-10,Biblioteca,Indiferente,Ninguna,No,Familia,No
28,2025-11-22,60-69,Femenino,Galapa,Tecnico/Tecnologo,Smartphone,Celular,No tiene,4,Neutral,Rara vez,"Google Maps, YouTube, Banca","No lo usa, Mensajes",No entiende botones,Dañar celular,Tal vez,Muy util,"Redes sociales, Gobierno, Banca",WhatsApp,"Miercoles, Jueves",Manana,2 veces,1 hora,21-40,Biblioteca,Grupo grande,Memoria,No,Empresa privada,Si
29,2025-11-30,40-49,Femenino,Soledad,Profesional,No tiene,Computador,WiFi,4,Muy incomodo,A veces,"WhatsApp, Correo, Google Maps","Tramites, Mapas","No entiende botones, Miedo a danar celular",No entender,Si,Poco util,"Salud, Redes sociales, WhatsApp",Redes sociales,"Sabado, Miercoles","Manana, Noche",1 vez,30 min,21-40,Alcaldia,Individual,Vista,Si,Familia,Si
30,2025-12-02,70-79,Masculino,Puerto Colombia,Profesional,No tiene,Tablet,Datos moviles,1,Comodo,Todos los dias,"WhatsApp, Google Maps",Mapas,"Miedo a danar celular, Olvida contrasenas",Estafas,No,Poco util,"Redes sociales, WhatsApp, Salud",Mapas,Lunes,"Manana, Noche",1 vez,30 min,21-40,Biblioteca,Grupo pequeno,Ninguna,Si,Alcaldia,Si
31,2025-11-26,50-59,Femenino,Malambo,Bachillerato,No tiene,Celular,Datos moviles,2,Incomodo,A veces,WhatsApp,Mensajes,Olvida contrasenas,Perder dinero,No,Poco util,Google Maps,Mapas,Martes,"Noche, Manana",1 vez,1.5 horas,40+,Universidad,Individual,Memoria,Solo si es gratis,Universidad,Si
32,2025-11-21,80+,Masculino,Galapa,Primaria,Smartphone,Ninguno,Datos moviles,4,Muy incomodo,Todos los dias,"Correo, WhatsApp, Banca","Tramites, Mensajes",Miedo a danar celular,Dañar celular,No,Poco util,"Correo, Salud",Correo,"Jueves, Lunes, Viernes",Tarde,Depende,45 min,40+,Universidad,Indiferente,Memoria,No,Alcaldia,No
33,2025-12-01,60-69,Prefiero no decirlo,Malambo,Tecnico/Tecnologo,Smartphone,Ninguno,WiFi,1,Muy incomodo,Nunca,"WhatsApp, Google Maps",Tramites,Ninguna,Ninguno,No,Poco util,"Banca, Salud, Google Maps",Redes sociales,"Sabado, Lunes","Noche, Tarde",3 veces o mas,30 min,11-20,Biblioteca,Indiferente,Audicion,Si,Empresa privada,No
34,2025-12-11,60-69,Prefiero no decirlo,Soledad,Profesional,No tiene,Celular,No tiene,3,Muy incomodo,Rara vez,"Ninguna, Google Maps","Videos, Llamadas",Miedo a danar celular,Ninguno,No,No me interesa,Google Maps,Redes sociales,"Lunes, Sabado, Martes","Tarde, Noche",3 veces o mas,45 min,21-40,Universidad,Grupo grande,Ninguna,Solo si es gratis,Alcaldia,Si
35,2025-12-10,50-59,Prefiero no decirlo,Barranquilla,Primaria,Celular basico,Ninguno,No tiene,4,Comodo,Todos los dias,"Google Maps, YouTube",Videos,"No entiende botones, Olvida contrasenas",Ninguno,Tal vez,Poco util,Salud,Salud,"Lunes, Sabado, Martes","Manana, Noche",3 veces o mas,1 hora,21-40,Barrio,Individual,Memoria,Solo si es gratis,Fundacion,Si
36,2025-12-10,70-79,Prefiero no decirlo,Soledad,Ninguno,No tiene,Computador,WiFi,4,Muy incomodo,Todos los dias,Correo,Videos,"Ninguna, No sabe descargar apps",No entender,Tal vez,Muy util,"WhatsApp, Google Maps",Banca,"Jueves, Miercoles, Lunes","Manana, Noche",Depende,1.5 horas,0-10,Alcaldia,Grupo grande,Motricidad,Si,Empresa privada,Si
37,2025-12-12,80+,Prefiero no decirlo,Barranquilla,Ninguno,No tiene,Tablet,Datos moviles,3,Incomodo,Rara vez,YouTube,"Mensajes, No lo usa",No entiende botones,Perder dinero,No,No me interesa,"Gobierno, Redes sociales",Correo,"Sabado, Viernes, Miercoles","Manana, Tarde",1 vez,1.5 horas,40+,Universidad,Grupo grande,Ninguna,Si,Empresa privada,Si
38,2025-12-05,70-79,Masculino,Barranquilla,Primaria,Celular basico,Computador,WiFi,1,Muy comodo,Todos los dias,"Banca, Ninguna",Mapas,Olvida contrasenas,Ninguno,Tal vez,Util,Gobierno,WhatsApp,"Sabado, Lunes",Manana,2 veces,1.5 horas,40+,Biblioteca,Grupo grande,Motricidad,No,Fundacion,No
39,2025-11-20,60-69,Prefiero no decirlo,Puerto Colombia,Primaria,No tiene,Computador,WiFi,3,Muy incomodo,Todos los dias,"Google Maps, Banca",Videos,Ninguna,Perder dinero,Tal vez,Poco util,"Compras, Banca, Correo",Redes sociales,Miercoles,"Noche, Tarde",2 veces,30 min,40+,Universidad,Individual,Motricidad,No,Universidad,Si
40,2025-12-04,70-79,Femenino,Soledad,Bachillerato,Smartphone,Celular,Datos moviles,1,Muy comodo,Nunca,"Google Maps, Banca, YouTube","Mensajes, No lo usa",Ninguna,Perder dinero,No,No me interesa,Compras,Mapas,"Sabado, Martes, Jueves","Noche, Tarde",2 veces,45 min,21-40,Alcaldia,Grupo pequeno,Motricidad,Solo si es gratis,Familia,No
41,2025-11-30,60-69,Masculino,Puerto Colombia,Ninguno,Celular basico,Tablet,WiFi,5,Incomodo,A veces,Ninguna,"Videos, Tramites",Ninguna,Estafas,Tal vez,Muy util,Correo,Salud,"Martes, Jueves, Lunes",Tarde,3 veces o mas,30 min,40+,Barrio,Indiferente,Ninguna,No,Universidad,No
42,2025-12-12,60-69,Femenino,Barranquilla,Tecnico/Tecnologo,Smartphone,Computador,WiFi,2,Muy incomodo,A veces,"Ninguna, YouTube","Mapas, Tramites",No entiende botones,Estafas,Tal vez,Util,Compras,WhatsApp,"Martes, Miercoles",Manana,2 veces,1.5 horas,40+,Barrio,Individual,Memoria,Solo si es gratis,Familia,Si
43,2025-11-24,80+,Prefiero no decirlo,Soledad,Bachillerato,Celular basico,Ninguno,WiFi,5,Neutral,Rara vez,"Correo, YouTube, WhatsApp","Llamadas, Tramites",No sabe descargar apps,No entender,Si,No me interesa,"Correo, Redes sociales",WhatsApp,"Lunes, Miercoles",Noche,1 vez,1 hora,11-20,Barrio,Grupo grande,Ninguna,No,Universidad,No
44,2025-11-22,70-79,Prefiero no decirlo,Soledad,Bachillerato,Smartphone,Ninguno,WiFi,3,Incomodo,Nunca,WhatsApp,"Videos, Tramites","Ninguna, No sabe descargar apps",Dañar celular,Si,Util,"Redes sociales, Compras",WhatsApp,"Miercoles, Sabado, Lunes","Tarde, Noche",Depende,1.5 horas,21-40,Biblioteca,Indiferente,Memoria,No,Familia,No
45,2025-11-19,40-49,Prefiero no decirlo,Galapa,Primaria,Celular basico,Tablet,No tiene,3,Neutral,Nunca,Google Maps,"Videos, Mapas","Miedo a danar celular, No sabe descargar apps",Dañar celular,Tal vez,Muy util,"Redes sociales, Correo, Salud",Mapas,"Lunes, Sabado, Jueves","Noche, Manana",1 vez,45 min,40+,Barrio,Grupo pequeno,Vista,Si,Empresa privada,No
46,2025-12-02,80+,Femenino,Puerto Colombia,Bachillerato,No tiene,Ninguno,Datos moviles,3,Comodo,Nunca,"YouTube, Banca, Google Maps","Videos, No lo usa",No entiende botones,Estafas,No,Util,"Compras, Correo",WhatsApp,"Miercoles, Jueves",Noche,3 veces o mas,1.5 horas,11-20,Barrio,Grupo pequeno,Vista,No,Universidad,No
47,2025-12-12,60-69,Prefiero no decirlo,Malambo,Primaria,No tiene,Computador,Datos moviles,2,Incomodo,A veces,"YouTube, WhatsApp, Ninguna",Mensajes,"No entiende botones, Olvida contrasenas",Ninguno,No,Poco util,"Google Maps, Correo",WhatsApp,Miercoles,"Noche, Tarde",Depende,1.5 horas,0-10,Biblioteca,Grupo grande,Vista,No,Fundacion,No
48,2025-12-10,80+,Prefiero no decirlo,Puerto Colombia,Bachillerato,Smartphone,Ninguno,No tiene,1,Muy incomodo,Rara vez,"YouTube, Ninguna","No lo usa, Mensajes","Ninguna, Olvida contrasenas",Estafas,Tal vez,Util,"Correo, Banca, Redes sociales",Mapas,"Viernes, Lunes, Martes",Manana,3 veces o mas,30 min,0-10,Barrio,Individual,Ninguna,No,Universidad,No
49,2025-11-25,40-49,Masculino,Puerto Colombia,Tecnico/Tecnologo,No tiene,Computador,Datos moviles,2,Comodo,A veces,"WhatsApp, Ninguna",Mapas,"No sabe descargar apps, Ninguna",Perder dinero,Tal vez,Util,"Redes sociales, Gobierno",Mapas,"Martes, Miercoles",Tarde,2 veces,1.5 horas,0-10,Universidad,Indiferente,Audicion,Si,Alcaldia,Si
50,2025-12-05,70-79,Prefiero no decirlo,Galapa,Bachillerato,Smartphone,Computador,No tiene,3,Incomodo,Rara vez,"Banca, Correo","Videos, Mapas",No entiende botones,No entender,No,No me interesa,Salud,Correo,"Lunes, Sabado","Tarde, Noche",3 veces o mas,30 min,0-10,Alcaldia,Grupo pequeno,Motricidad,Solo si es gratis,Empresa privada,No
51,2025-12-03,40-49,Masculino,Barranquilla,Ninguno,No tiene,Tablet,Datos moviles,5,Neutral,Nunca,"Banca, Correo","Tramites, No lo usa",Miedo a danar celular,Estafas,Tal vez,Poco util,"Redes sociales, Compras",Banca,Viernes,"Noche, Manana",1 vez,30 min,11-20,Universidad,Indiferente,Ninguna,No,Universidad,Si
52,2025-12-04,80+,Masculino,Soledad,Profesional,No tiene,Computador,No tiene,3,Muy comodo,Todos los dias,"Banca, Google Maps, Correo",Videos,"No entiende botones, No sabe descargar apps",Ninguno,Tal vez,Muy util,"Gobierno, Google Maps, Redes sociales",Correo,"Martes, Lunes, Jueves",Noche,Depende,45 min,11-20,Barrio,Individual,Audicion,Si,Fundacion,No
53,2025-12-01,50-59,Masculino,Soledad,Profesional,No tiene,Ninguno,No tiene,1,Incomodo,Rara vez,"Google Maps, Correo, Banca","Mensajes, Mapas","Ninguna, Olvida contrasenas",Dañar celular,No,No me interesa,Salud,Mapas,"Miercoles, Martes, Sabado","Noche, Manana",Depende,1 hora,40+,Universidad,Grupo grande,Motricidad,Si,Familia,No
54,2025-11-16,70-79,Masculino,Soledad,Tecnico/Tecnologo,Smartphone,Computador,No tiene,1,Neutral,Todos los dias,"Google Maps, Correo, YouTube",Tramites,"Ninguna, Olvida contrasenas",Perder dinero,Si,Util,WhatsApp,Redes sociales,"Martes, Sabado, Lunes",Tarde,3 veces o mas,1.5 horas,0-10,Biblioteca,Individual,Ninguna,Si,Fundacion,No
55,2025-11-29,50-59,Masculino,Malambo,Tecnico/Tecnologo,No tiene,Celular,WiFi,5,Incomodo,Nunca,Correo,Llamadas,"No sabe descargar apps, Miedo a danar celular",Dañar celular,Si,Muy util,"Banca, Google Maps",Mapas,"Sabado, Viernes","Manana, Tarde",3 veces o mas,45 min,0-10,Universidad,Grupo pequeno,Memoria,Solo si es gratis,Empresa privada,Si
56,2025-12-14,60-69,Masculino,Puerto Colombia,Bachillerato,Smartphone,Ninguno,Datos moviles,5,Neutral,Nunca,"Ninguna, WhatsApp",Mensajes,"Olvida contrasenas, Miedo a danar celular",Estafas,Tal vez,No me interesa,Gobierno,Mapas,"Miercoles, Viernes",Tarde,3 veces o mas,45 min,0-10,Barrio,Indiferente,Motricidad,Si,Fundacion,No
57,2025-11-22,40-49,Prefiero no decirlo,Malambo,Tecnico/Tecnologo,No tiene,Tablet,WiFi,2,Comodo,Rara vez,"Ninguna, Banca","Mapas, Tramites","Ninguna, Miedo a danar celular",Perder dinero,No,Muy util,"Gobierno, Correo, Redes sociales",Mapas,Viernes,Manana,2 veces,45 min,11-20,Universidad,Indiferente,Vista,Solo si es gratis,Universidad,No
58,2025-12-12,80+,Masculino,Barranquilla,Profesional,Smartphone,Ninguno,Datos moviles,5,Muy incomodo,Todos los dias,"Google Maps, WhatsApp, Correo","Llamadas, Mensajes",No entiende botones,No entender,Tal vez,Muy util,"WhatsApp, Gobierno, Salud",WhatsApp,"Jueves, Martes",Noche,Depende,1 hora,40+,Alcaldia,Indiferente,Memoria,Si,Familia,Si
59,2025-11-24,60-69,Femenino,Soledad,Ninguno,Celular basico,Tablet,No tiene,2,Muy incomodo,Nunca,"Correo, Banca","Tramites, Mapas",Miedo a danar celular,No entender,Tal vez,Util,"Salud, Redes sociales",WhatsApp,Sabado,"Noche, Manana",2 veces,45 min,0-10,Barrio,Individual,Memoria,Solo si es gratis,Alcaldia,Si
60,2025-11-21,40-49,Masculino,Galapa,Bachillerato,No tiene,Tablet,WiFi,2,Muy comodo,A veces,Ninguna,"Tramites, No lo usa","Miedo a danar celular, Olvida contrasenas",Perder dinero,No,Util,"Correo, Google Maps",WhatsApp,"Viernes, Martes, Jueves","Manana, Tarde",Depende,1 hora,40+,Alcaldia,Grupo pequeno,Motricidad,No,Universidad,No
61,2025-12-07,50-59,Masculino,Soledad,Profesional,Smartphone,Ninguno,Datos moviles,5,Muy comodo,Rara vez,"YouTube, Google Maps",Videos,No sabe descargar apps,Dañar celular,Si,Util,Correo,Salud,"Viernes, Sabado, Lunes",Manana,2 veces,1.5 horas,11-20,Universidad,Grupo grande,Vista,Si,Universidad,Si
62,2025-11-21,70-79,Femenino,Puerto Colombia,Bachillerato,Celular basico,Tablet,No tiene,3,Neutral,Todos los dias,"Banca, Google Maps","Videos, No lo usa","No sabe descargar apps, No entiende botones",No entender,Tal vez,Util,"Redes sociales, Salud",WhatsApp,"Martes, Sabado, Lunes","Noche, Tarde",3 veces o mas,45 min,11-20,Universidad,Grupo pequeno,Memoria,Solo si es gratis,Universidad,No
63,2025-11-27,60-69,Masculino,Galapa,Profesional,Celular basico,Tablet,No tiene,3,Incomodo,Rara vez,"Banca, Correo, YouTube",Tramites,No entiende botones,Estafas,Si,No me interesa,Salud,WhatsApp,"Martes, Lunes, Sabado","Tarde, Manana",Depende,1.5 horas,0-10,Barrio,Indiferente,Vista,Si,Familia,No
64,2025-11-27,60-69,Femenino,Puerto Colombia,Profesional,Smartphone,Celular,WiFi,5,Incomodo,Rara vez,Banca,"Videos, No lo usa","No entiende botones, Olvida contrasenas",No entender,Tal vez,Util,"Salud, Google Maps, Redes sociales",WhatsApp,"Sabado, Lunes, Viernes","Tarde, Noche",Depende,30 min,0-10,Biblioteca,Individual,Memoria,No,Empresa privada,Si
65,2025-11-16,80+,Femenino,Soledad,Bachillerato,No tiene,Ninguno,Datos moviles,1,Muy incomodo,A veces,"Banca, WhatsApp, YouTube","Llamadas, Mensajes",No sabe descargar apps,Estafas,Tal vez,Util,"Salud, Correo, Gobierno",Redes sociales,"Miercoles, Jueves, Martes",Noche,3 veces o mas,30 min,0-10,Alcaldia,Grupo pequeno,Vista,No,Familia,No
66,2025-11-20,60-69,Femenino,Malambo,Profesional,Celular basico,Tablet,Datos moviles,5,Comodo,Todos los dias,Ninguna,"Llamadas, Tramites","Miedo a danar celular, No entiende botones",Estafas,Tal vez,Util,"Google Maps, Redes sociales",Salud,"Miercoles, Lunes",Manana,3 veces o mas,1.5 horas,21-40,Universidad,Individual,Audicion,Si,Universidad,No
67,2025-11-30,80+,Prefiero no decirlo,Puerto Colombia,Profesional,Smartphone,Celular,WiFi,3,Muy comodo,Nunca,"Banca, Google Maps, Correo",Videos,"No sabe descargar apps, No entiende botones",Ninguno,Si,Util,"Compras, Banca, Gobierno",Mapas,"Miercoles, Jueves",Manana,2 veces,1.5 horas,21-40,Alcaldia,Grupo grande,Memoria,Si,Empresa privada,No
68,2025-11-14,50-59,Prefiero no decirlo,Galapa,Ninguno,No tiene,Tablet,Datos moviles,1,Incomodo,A veces,Correo,"Tramites, Mapas","No sabe descargar apps, Olvida contrasenas",No entender,No,Util,"Redes sociales, Correo",Redes sociales,Jueves,"Manana, Tarde",3 veces o mas,1 hora,40+,Biblioteca,Grupo grande,Memoria,No,Fundacion,No
69,2025-12-11,80+,Femenino,Puerto Colombia,Ninguno,Smartphone,Celular,No tiene,4,Incomodo,Todos los dias,"Ninguna, WhatsApp","No lo usa, Mapas",Olvida contrasenas,Perder dinero,Tal vez,Util,"Compras, Gobierno, Salud",WhatsApp,"Viernes, Jueves","Noche, Tarde",1 vez,1 hora,0-10,Barrio,Grupo pequeno,Motricidad,Si,Familia,Si
70,2025-11-26,70-79,Masculino,Galapa,Primaria,Smartphone,Celular,Datos moviles,2,Muy comodo,Rara vez,"Google Maps, Correo","No lo usa, Tramites",Olvida contrasenas,Estafas,Tal vez,Muy util,"Compras, WhatsApp",WhatsApp,"Martes, Miercoles, Viernes","Tarde, Manana",Depende,1 hora,40+,Barrio,Indiferente,Memoria,No,Alcaldia,No
