id_encuestado,fecha_respuesta,edad_rango,genero,ciudad,nivel_educativo,tipo_celular,dispositivo_principal,acceso_internet,nivel_manejo_celular,comodidad_apps,frecuencia_uso_apps,apps_usadas,uso_principal_celular,dificultades,miedos,interes_clases_presenciales,interes_simuladores,apps_deseadas,app_prioritaria,dias_disponibles,horarios_disponibles,frecuencia_posible_semana,duracion_preferida_clase,tiempo_desplazamiento,lugar_preferido_clases,tipo_clase_preferida,limitaciones,disposicion_pago,entidad_ideal,contacto_interes
11,2025-12-09,40-49,Masculino,Barranquilla,Profesional,Smartphone,Tablet,Datos Moviles,3,Neutral,Rara Vez,Whatsapp,Mapas,"Olvida Contrasenas,No Entiende Botones",Dañar Celular,Tal Vez,No Me Interesa,"Redes Sociales,Whatsapp,Compras",Mapas,Viernes,"Manana,Noche",Depende,1 Hora,21-40,Alcaldia,Individual,Memoria,Solo Si Es Gratis,Universidad,No
12,2025-12-13,70-79,Femenino,Puerto Colombia,Ninguno,No Tiene,Tablet,Datos Moviles,4,Muy Incomodo,A Veces,"Google Maps,Whatsapp,Ninguna","No Lo Usa,Mapas","No Sabe Descargar Apps,Olvida Contrasenas",Ninguno,Si,Util,"Compras,Redes Sociales",Redes Sociales,Viernes,"Tarde,Manana",3 Veces O Mas,1 Hora,11-20,Alcaldia,Grupo Grande,Memoria,No,Fundacion,Si
13,2025-11-28,70-79,Prefiero No Decirlo,Soledad,Primaria,Celular Basico,Computador,Wifi,2,Neutral,Rara Vez,Youtube,Llamadas,No Sabe Descargar Apps,Ninguno,Si,No Me Interesa,"Salud,Redes Sociales",Redes Sociales,"Jueves,Sabado",Manana,1 Vez,30 Min,40+,Biblioteca,Grupo Pequeno,Ninguna,No,Alcaldia,Si
14,2025-11-15,40-49,Masculino,Soledad,Profesional,No Tiene,Computador,Datos Moviles,5,Muy Comodo,Todos Los Dias,"Correo,Youtube,Ninguna","Videos,Mensajes","Ninguna,No Sabe Descargar Apps",Perder Dinero,Tal Vez,No Me Interesa,Correo,Banca,"Miercoles,Sabado",Manana,2 Veces,45 Min,40+,Biblioteca,Grupo Pequeno,Vista,No,Fundacion,No
15,2025-11-27,70-79,Masculino,Barranquilla,Bachillerato,Celular Basico,Ninguno,No Tiene,1,Muy Comodo,Todos Los Dias,"Whatsapp,Google Maps","Mapas,No Lo Usa",No Sabe Descargar Apps,Perder Dinero,Tal Vez,No Me Interesa,"Whatsapp,Salud",Mapas,"Sabado,Jueves,Martes","Manana,Noche",Depende,30 Min,0-10,Alcaldia,Grupo Pequeno,Memoria,Si,Alcaldia,No
16,2025-12-02,60-69,Femenino,Galapa,Tecnico/Tecnologo,Celular Basico,Ninguno,Datos Moviles,4,Neutral,Nunca,"Whatsapp,Banca",Videos,No Entiende Botones,Estafas,Si,Util,Whatsapp,Correo,Martes,Tarde,1 Vez,45 Min,40+,Universidad,Grupo Grande,Audicion,Solo Si Es Gratis,Familia,Si
17,2025-11-20,50-59,Masculino,Barranquilla,Ninguno,Smartphone,Computador,No Tiene,4,Comodo,Rara Vez,Banca,Llamadas,"Ninguna,No Entiende Botones",Ninguno,Si,Poco Util,"Compras,Redes Sociales,Google Maps",Whatsapp,"Sabado,Miercoles,Lunes","Tarde,Manana",Depende,1 Hora,40+,Biblioteca,Indiferente,Audicion,Solo Si Es Gratis,Familia,No
18,2025-11-25,80+,Masculino,Galapa,Profesional,No Tiene,Computador,Datos Moviles,2,Muy Incomodo,A Veces,"Youtube,Correo","Videos,Llamadas","Olvida Contrasenas,Miedo A Danar Celular",No Entender,Si,Poco Util,"Redes Sociales,Google Maps",Correo,"Miercoles,Viernes,Lunes",Manana,2 Veces,1.5 Horas,40+,Biblioteca,Indiferente,Memoria,No,Alcaldia,Si
19,2025-12-05,50-59,Masculino,Soledad,Tecnico/Tecnologo,No Tiene,Computador,Datos Moviles,5,Muy Comodo,A Veces,"Ninguna,Banca","Videos,Mapas","Olvida Contrasenas,Ninguna",Perder Dinero,Si,Util,"Banca,Redes Sociales",Correo,"Martes,Sabado,Viernes","Tarde,Noche",1 Vez,45 Min,21-40,Biblioteca,Grupo Grande,Audicion,No,Alcaldia,Si
20,2025-12-06,40-49,Femenino,Puerto Colombia,Tecnico/Tecnologo,No Tiene,Tablet,No Tiene,4,Muy Incomodo,Nunca,"Google Maps,Correo,Banca","Videos,Mensajes",Olvida Contrasenas,No Entender,Si,Muy Util,"Gobierno,Whatsapp",Correo,"Sabado,Lunes,Martes",Noche,3 Veces O Mas,30 Min,11-20,Barrio,Indiferente,Ninguna,Solo Si Es Gratis,Familia,Si
21,2025-11-20,80+,Masculino,Galapa,Profesional,Celular Basico,Ninguno,Datos Moviles,5,Muy Comodo,Nunca,"Ninguna,Whatsapp,Youtube",Videos,Miedo A Danar Celular,Perder Dinero,Si,Muy Util,Whatsapp,Salud,"Sabado,Viernes","Tarde,Manana",2 Veces,1 Hora,21-40,Alcaldia,Individual,Audicion,No,Familia,Si
22,2025-12-01,40-49,Prefiero No Decirlo,Soledad,Bachillerato,Celular Basico,Tablet,Wifi,1,Incomodo,A Veces,"Ninguna,Banca,Google Maps","Llamadas,Mapas","No Sabe Descargar Apps,Olvida Contrasenas",Ninguno,No,No Me Interesa,"Banca,Correo",Whatsapp,"Sabado,Miercoles","Manana,Noche",2 Veces,30 Min,21-40,Barrio,Grupo Pequeno,Memoria,Solo Si Es Gratis,Fundacion,No
23,2025-12-09,80+,Masculino,Galapa,Primaria,Celular Basico,Computador,Datos Moviles,3,Neutral,Nunca,Google Maps,"No Lo Usa,Mapas","No Sabe Descargar Apps,No Entiende Botones",No Entender,Si,Poco Util,"Redes Sociales,Whatsapp",Salud,"Lunes,Viernes,Jueves","Manana,Noche",3 Veces O Mas,1.5 Horas,40+,Barrio,Grupo Pequeno,Motricidad,Solo Si Es Gratis,Universidad,No
24,2025-11-30,70-79,Femenino,Barranquilla,Ninguno,Smartphone,Tablet,Datos Moviles,5,Muy Incomodo,Todos Los Dias,Youtube,Mapas,Miedo A Danar Celular,No Entender,No,Poco Util,"Correo,Salud,Compras",Salud,Jueves,Tarde,2 Veces,45 Min,0-10,Universidad,Indiferente,Motricidad,Solo Si Es Gratis,Empresa Privada,Si
25,2025-12-05,60-69,Prefiero No Decirlo,Puerto Colombia,Profesional,Smartphone,Ninguno,No Tiene,4,Neutral,A Veces,"Banca,Correo,Ninguna","Mensajes,No Lo Usa","Miedo A Danar Celular,No Sabe Descargar Apps",Estafas,Tal Vez,No Me Interesa,"Compras,Salud,Redes Sociales",Redes Sociales,Jueves,Manana,3 Veces O Mas,30 Min,40+,Barrio,Indiferente,Vista,Solo Si Es Gratis,Universidad,No
26,2025-11-17,50-59,Femenino,Galapa,Tecnico/Tecnologo,Celular Basico,Ninguno,No Tiene,1,Neutral,Todos Los Dias,"Ninguna,Correo",Tramites,Miedo A Danar Celular,Dañar Celular,Si,Muy Util,"Banca,Compras",Redes Sociales,"Lunes,Jueves,Martes","Manana,Noche",3 Veces O Mas,30 Min,21-40,Universidad,Grupo Grande,Memoria,Si,Universidad,No
27,2025-11-26,50-59,Femenino,Soledad,Primaria,No Tiene,Ninguno,No Tiene,2,Comodo,Rara Vez,Correo,"Mapas,Videos",No Sabe Descargar Apps,Dañar Celular,No,Util,Gobierno,Mapas,"Miercoles,Jueves,Sabado","Tarde,Manana",Depende,1.5 Horas,0-10,Biblioteca,Indiferente,Ninguna,No,Familia,No
28,2025-11-22,60-69,Femenino,Galapa,Tecnico/Tecnologo,Smartphone,Celular,No Tiene,4,Neutral,Rara Vez,"Google Maps,Youtube,Banca","No Lo Usa,Mensajes",No Entiende Botones,Dañar Celular,Tal Vez,Muy Util,"Redes Sociales,Gobierno,Banca",Whatsapp,"Miercoles,Jueves",Manana,2 Veces,1 Hora,21-40,Biblioteca,Grupo Grande,Memoria,No,Empresa Privada,Si
29,2025-11-30,40-49,Femenino,Soledad,Profesional,No Tiene,Computador,Wifi,4,Muy Incomodo,A Veces,"Whatsapp,Correo,Google Maps","Tramites,Mapas","No Entiende Botones,Miedo A Danar Celular",No Entender,Si,Poco Util,"Salud,Redes Sociales,Whatsapp",Redes Sociales,"Sabado,Miercoles","Manana,Noche",1 Vez,30 Min,21-40,Alcaldia,Individual,Vista,Si,Familia,Si
30,2025-12-02,70-79,Masculino,Puerto Colombia,Profesional,No Tiene,Tablet,Datos Moviles,1,Comodo,Todos Los Dias,"Whatsapp,Google Maps",Mapas,"Miedo A Danar Celular,Olvida Contrasenas",Estafas,No,Poco Util,"Redes Sociales,Whatsapp,Salud",Mapas,Lunes,"Manana,Noche",1 Vez,30 Min,21-40,Biblioteca,Grupo Pequeno,Ninguna,Si,Alcaldia,Si
31,2025-11-26,50-59,Femenino,Malambo,Bachillerato,No Tiene,Celular,Datos Moviles,2,Incomodo,A Veces,Whatsapp,Mensajes,Olvida Contrasenas,Perder Dinero,No,Poco Util,Google Maps,Mapas,Martes,"Noche,Manana",1 Vez,1.5 Horas,40+,Universidad,Individual,Memoria,Solo Si Es Gratis,Universidad,Si
32,2025-11-21,80+,Masculino,Galapa,Primaria,Smartphone,Ninguno,Datos Moviles,4,Muy Incomodo,Todos Los Dias,"Correo,Whatsapp,Banca","Tramites,Mensajes",Miedo A Danar Celular,Dañar Celular,No,Poco Util,"Correo,Salud",Correo,"Jueves,Lunes,Viernes",Tarde,Depende,45 Min,40+,Universidad,Indiferente,Memoria,No,Alcaldia,No
33,2025-12-01,60-69,Prefiero No Decirlo,Malambo,Tecnico/Tecnologo,Smartphone,Ninguno,Wifi,1,Muy Incomodo,Nunca,"Whatsapp,Google Maps",Tramites,Ninguna,Ninguno,No,Poco Util,"Banca,Salud,Google Maps",Redes Sociales,"Sabado,Lunes","Noche,Tarde",3 Veces O Mas,30 Min,11-20,Biblioteca,Indiferente,Audicion,Si,Empresa Privada,No
34,2025-12-11,60-69,Prefiero No Decirlo,Soledad,Profesional,No Tiene,Celular,No Tiene,3,Muy Incomodo,Rara Vez,"Ninguna,Google Maps","Videos,Llamadas",Miedo A Danar Celular,Ninguno,No,No Me Interesa,Google Maps,Redes Sociales,"Lunes,Sabado,Martes","Tarde,Noche",3 Veces O Mas,45 Min,21-40,Universidad,Grupo Grande,Ninguna,Solo Si Es Gratis,Alcaldia,Si
35,2025-12-10,50-59,Prefiero No Decirlo,Barranquilla,Primaria,Celular Basico,Ninguno,No Tiene,4,Comodo,Todos Los Dias,"Google Maps,Youtube",Videos,"No Entiende Botones,Olvida Contrasenas",Ninguno,Tal Vez,Poco Util,Salud,Salud,"Lunes,Sabado,Martes","Manana,Noche",3 Veces O Mas,1 Hora,21-40,Barrio,Individual,Memoria,Solo Si Es Gratis,Fundacion,Si
36,2025-12-10,70-79,Prefiero No Decirlo,Soledad,Ninguno,No Tiene,Computador,Wifi,4,Muy Incomodo,Todos Los Dias,Correo,Videos,"Ninguna,No Sabe Descargar Apps",No Entender,Tal Vez,Muy Util,"Whatsapp,Google Maps",Banca,"Jueves,Miercoles,Lunes","Manana,Noche",Depende,1.5 Horas,0-10,Alcaldia,Grupo Grande,Motricidad,Si,Empresa Privada,Si
37,2025-12-12,80+,Prefiero No Decirlo,Barranquilla,Ninguno,No Tiene,Tablet,Datos Moviles,3,Incomodo,Rara Vez,Youtube,"Mensajes,No Lo Usa",No Entiende Botones,Perder Dinero,No,No Me Interesa,"Gobierno,Redes Sociales",Correo,"Sabado,Viernes,Miercoles","Manana,Tarde",1 Vez,1.5 Horas,40+,Universidad,Grupo Grande,Ninguna,Si,Empresa Privada,Si
38,2025-12-05,70-79,Masculino,Barranquilla,Primaria,Celular Basico,Computador,Wifi,1,Muy Comodo,Todos Los Dias,"Banca,Ninguna",Mapas,Olvida Contrasenas,Ninguno,Tal Vez,Util,Gobierno,Whatsapp,"Sabado,Lunes",Manana,2 Veces,1.5 Horas,40+,Biblioteca,Grupo Grande,Motricidad,No,Fundacion,No
39,2025-11-20,60-69,Prefiero No Decirlo,Puerto Colombia,Primaria,No Tiene,Computador,Wifi,3,Muy Incomodo,Todos Los Dias,"Google Maps,Banca",Videos,Ninguna,Perder Dinero,Tal Vez,Poco Util,"Compras,Banca,Correo",Redes Sociales,Miercoles,"Noche,Tarde",2 Veces,30 Min,40+,Universidad,Individual,Motricidad,No,Universidad,Si
40,2025-12-04,70-79,Femenino,Soledad,Bachillerato,Smartphone,Celular,Datos Moviles,1,Muy Comodo,Nunca,"Google Maps,Banca,Youtube","Mensajes,No Lo Usa",Ninguna,Perder Dinero,No,No Me Interesa,Compras,Mapas,"Sabado,Martes,Jueves","Noche,Tarde",2 Veces,45 Min,21-40,Alcaldia,Grupo Pequeno,Motricidad,Solo Si Es Gratis,Familia,No
41,2025-11-30,60-69,Masculino,Puerto Colombia,Ninguno,Celular Basico,Tablet,Wifi,5,Incomodo,A Veces,Ninguna,"Videos,Tramites",Ninguna,Estafas,Tal Vez,Muy Util,Correo,Salud,"Martes,Jueves,Lunes",Tarde,3 Veces O Mas,30 Min,40+,Barrio,Indiferente,Ninguna,No,Universidad,No
42,2025-12-12,60-69,Femenino,Barranquilla,Tecnico/Tecnologo,Smartphone,Computador,Wifi,2,Muy Incomodo,A Veces,"Ninguna,Youtube","Mapas,Tramites",No Entiende Botones,Estafas,Tal Vez,Util,Compras,Whatsapp,"Martes,Miercoles",Manana,2 Veces,1.5 Horas,40+,Barrio,Individual,Memoria,Solo Si Es Gratis,Familia,Si
43,2025-11-24,80+,Prefiero No Decirlo,Soledad,Bachillerato,Celular Basico,Ninguno,Wifi,5,Neutral,Rara Vez,"Correo,Youtube,Whatsapp","Llamadas,Tramites",No Sabe Descargar Apps,No Entender,Si,No Me Interesa,"Correo,Redes Sociales",Whatsapp,"Lunes,Miercoles",Noche,1 Vez,1 Hora,11-20,Barrio,Grupo Grande,Ninguna,No,Universidad,No
44,2025-11-22,70-79,Prefiero No Decirlo,Soledad,Bachillerato,Smartphone,Ninguno,Wifi,3,Incomodo,Nunca,Whatsapp,"Videos,Tramites","Ninguna,No Sabe Descargar Apps",Dañar Celular,Si,Util,"Redes Sociales,Compras",Whatsapp,"Miercoles,Sabado,Lunes","Tarde,Noche",Depende,1.5 Horas,21-40,Biblioteca,Indiferente,Memoria,No,Familia,No
45,2025-11-19,40-49,Prefiero No Decirlo,Galapa,Primaria,Celular Basico,Tablet,No Tiene,3,Neutral,Nunca,Google Maps,"Videos,Mapas","Miedo A Danar Celular,No Sabe Descargar Apps",Dañar Celular,Tal Vez,Muy Util,"Redes Sociales,Correo,Salud",Mapas,"Lunes,Sabado,Jueves","Noche,Manana",1 Vez,45 Min,40+,Barrio,Grupo Pequeno,Vista,Si,Empresa Privada,No
46,2025-12-02,80+,Femenino,Puerto Colombia,Bachillerato,No Tiene,Ninguno,Datos Moviles,3,Comodo,Nunca,"Youtube,Banca,Google Maps","Videos,No Lo Usa",No Entiende Botones,Estafas,No,Util,"Compras,Correo",Whatsapp,"Miercoles,Jueves",Noche,3 Veces O Mas,1.5 Horas,11-20,Barrio,Grupo Pequeno,Vista,No,Universidad,No
47,2025-12-12,60-69,Prefiero No Decirlo,Malambo,Primaria,No Tiene,Computador,Datos Moviles,2,Incomodo,A Veces,"Youtube,Whatsapp,Ninguna",Mensajes,"No Entiende Botones,Olvida Contrasenas",Ninguno,No,Poco Util,"Google Maps,Correo",Whatsapp,Miercoles,"Noche,Tarde",Depende,1.5 Horas,0-10,Biblioteca,Grupo Grande,Vista,No,Fundacion,No
48,2025-12-10,80+,Prefiero No Decirlo,Puerto Colombia,Bachillerato,Smartphone,Ninguno,No Tiene,1,Muy Incomodo,Rara Vez,"Youtube,Ninguna","No Lo Usa,Mensajes","Ninguna,Olvida Contrasenas",Estafas,Tal Vez,Util,"Correo,Banca,Redes Sociales",Mapas,"Viernes,Lunes,Martes",Manana,3 Veces O Mas,30 Min,0-10,Barrio,Individual,Ninguna,No,Universidad,No
49,2025-11-25,40-49,Masculino,Puerto Colombia,Tecnico/Tecnologo,No Tiene,Computador,Datos Moviles,2,Comodo,A Veces,"Whatsapp,Ninguna",Mapas,"No Sabe Descargar Apps,Ninguna",Perder Dinero,Tal Vez,Util,"Redes Sociales,Gobierno",Mapas,"Martes,Miercoles",Tarde,2 Veces,1.5 Horas,0-10,Universidad,Indiferente,Audicion,Si,Alcaldia,Si
50,2025-12-05,70-79,Prefiero No Decirlo,Galapa,Bachillerato,Smartphone,Computador,No Tiene,3,Incomodo,Rara Vez,"Banca,Correo","Videos,Mapas",No Entiende Botones,No Entender,No,No Me Interesa,Salud,Correo,"Lunes,Sabado","Tarde,Noche",3 Veces O Mas,30 Min,0-10,Alcaldia,Grupo Pequeno,Motricidad,Solo Si Es Gratis,Empresa Privada,No
51,2025-12-03,40-49,Masculino,Barranquilla,Ninguno,No Tiene,Tablet,Datos Moviles,5,Neutral,Nunca,"Banca,Correo","Tramites,No Lo Usa",Miedo A Danar Celular,Estafas,Tal Vez,Poco Util,"Redes Sociales,Compras",Banca,Viernes,"Noche,Manana",1 Vez,30 Min,11-20,Universidad,Indiferente,Ninguna,No,Universidad,Si
52,2025-12-04,80+,Masculino,Soledad,Profesional,No Tiene,Computador,No Tiene,3,Muy Comodo,Todos Los Dias,"Banca,Google Maps,Correo",Videos,"No Entiende Botones,No Sabe Descargar Apps",Ninguno,Tal Vez,Muy Util,"Gobierno,Google Maps,Redes Sociales",Correo,"Martes,Lunes,Jueves",Noche,Depende,45 Min,11-20,Barrio,Individual,Audicion,Si,Fundacion,No
53,2025-12-01,50-59,Masculino,Soledad,Profesional,No Tiene,Ninguno,No Tiene,1,Incomodo,Rara Vez,"Google Maps,Correo,Banca","Mensajes,Mapas","Ninguna,Olvida Contrasenas",Dañar Celular,No,No Me Interesa,Salud,Mapas,"Miercoles,Martes,Sabado","Noche,Manana",Depende,1 Hora,40+,Universidad,Grupo Grande,Motricidad,Si,Familia,No
54,2025-11-16,70-79,Masculino,Soledad,Tecnico/Tecnologo,Smartphone,Computador,No Tiene,1,Neutral,Todos Los Dias,"Google Maps,Correo,Youtube",Tramites,"Ninguna,Olvida Contrasenas",Perder Dinero,Si,Util,Whatsapp,Redes Sociales,"Martes,Sabado,Lunes",Tarde,3 Veces O Mas,1.5 Horas,0-10,Biblioteca,Individual,Ninguna,Si,Fundacion,No
55,2025-11-29,50-59,Masculino,Malambo,Tecnico/Tecnologo,No Tiene,Celular,Wifi,5,Incomodo,Nunca,Correo,Llamadas,"No Sabe Descargar Apps,Miedo A Danar Celular",Dañar Celular,Si,Muy Util,"Banca,Google Maps",Mapas,"Sabado,Viernes","Manana,Tarde",3 Veces O Mas,45 Min,0-10,Universidad,Grupo Pequeno,Memoria,Solo Si Es Gratis,Empresa Privada,Si
56,2025-12-14,60-69,Masculino,Puerto Colombia,Bachillerato,Smartphone,Ninguno,Datos Moviles,5,Neutral,Nunca,"Ninguna,Whatsapp",Mensajes,"Olvida Contrasenas,Miedo A Danar Celular",Estafas,Tal Vez,No Me Interesa,Gobierno,Mapas,"Miercoles,Viernes",Tarde,3 Veces O Mas,45 Min,0-10,Barrio,Indiferente,Motricidad,Si,Fundacion,No
57,2025-11-22,40-49,Prefiero No Decirlo,Malambo,Tecnico/Tecnologo,No Tiene,Tablet,Wifi,2,Comodo,Rara Vez,"Ninguna,Banca","Mapas,Tramites","Ninguna,Miedo A Danar Celular",Perder Dinero,No,Muy Util,"Gobierno,Correo,Redes Sociales",Mapas,Viernes,Manana,2 Veces,45 Min,11-20,Universidad,Indiferente,Vista,Solo Si Es Gratis,Universidad,No
58,2025-12-12,80+,Masculino,Barranquilla,Profesional,Smartphone,Ninguno,Datos Moviles,5,Muy Incomodo,Todos Los Dias,"Google Maps,Whatsapp,Correo","Llamadas,Mensajes",No Entiende Botones,No Entender,Tal Vez,Muy Util,"Whatsapp,Gobierno,Salud",Whatsapp,"Jueves,Martes",Noche,Depende,1 Hora,40+,Alcaldia,Indiferente,Memoria,Si,Familia,Si
59,2025-11-24,60-69,Femenino,Soledad,Ninguno,Celular Basico,Tablet,No Tiene,2,Muy Incomodo,Nunca,"Correo,Banca","Tramites,Mapas",Miedo A Danar Celular,No Entender,Tal Vez,Util,"Salud,Redes Sociales",Whatsapp,Sabado,"Noche,Manana",2 Veces,45 Min,0-10,Barrio,Individual,Memoria,Solo Si Es Gratis,Alcaldia,Si
60,2025-11-21,40-49,Masculino,Galapa,Bachillerato,No Tiene,Tablet,Wifi,2,Muy Comodo,A Veces,Ninguna,"Tramites,No Lo Usa","Miedo A Danar Celular,Olvida Contrasenas",Perder Dinero,No,Util,"Correo,Google Maps",Whatsapp,"Viernes,Martes,Jueves","Manana,Tarde",Depende,1 Hora,40+,Alcaldia,Grupo Pequeno,Motricidad,No,Universidad,No
61,2025-12-07,50-59,Masculino,Soledad,Profesional,Smartphone,Ninguno,Datos Moviles,5,Muy Comodo,Rara Vez,"Youtube,Google Maps",Videos,No Sabe Descargar Apps,Dañar Celular,Si,Util,Correo,Salud,"Viernes,Sabado,Lunes",Manana,2 Veces,1.5 Horas,11-20,Universidad,Grupo Grande,Vista,Si,Universidad,Si
62,2025-11-21,70-79,Femenino,Puerto Colombia,Bachillerato,Celular Basico,Tablet,No Tiene,3,Neutral,Todos Los Dias,"Banca,Google Maps","Videos,No Lo Usa","No Sabe Descargar Apps,No Entiende Botones",No Entender,Tal Vez,Util,"Redes Sociales,Salud",Whatsapp,"Martes,Sabado,Lunes","Noche,Tarde",3 Veces O Mas,45 Min,11-20,Universidad,Grupo Pequeno,Memoria,Solo Si Es Gratis,Universidad,No
63,2025-11-27,60-69,Masculino,Galapa,Profesional,Celular Basico,Tablet,No Tiene,3,Incomodo,Rara Vez,"Banca,Correo,Youtube",Tramites,No Entiende Botones,Estafas,Si,No Me Interesa,Salud,Whatsapp,"Martes,Lunes,Sabado","Tarde,Manana",Depende,1.5 Horas,0-10,Barrio,Indiferente,Vista,Si,Familia,No
64,2025-11-27,60-69,Femenino,Puerto Colombia,Profesional,Smartphone,Celular,Wifi,5,Incomodo,Rara Vez,Banca,"Videos,No Lo Usa","No Entiende Botones,Olvida Contrasenas",No Entender,Tal Vez,Util,"Salud,Google Maps,Redes Sociales",Whatsapp,"Sabado,Lunes,Viernes","Tarde,Noche",Depende,30 Min,0-10,Biblioteca,Individual,Memoria,No,Empresa Privada,Si
65,2025-11-16,80+,Femenino,Soledad,Bachillerato,No Tiene,Ninguno,Datos Moviles,1,Muy Incomodo,A Veces,"Banca,Whatsapp,Youtube","Llamadas,Mensajes",No Sabe Descargar Apps,Estafas,Tal Vez,Util,"Salud,Correo,Gobierno",Redes Sociales,"Miercoles,Jueves,Martes",Noche,3 Veces O Mas,30 Min,0-10,Alcaldia,Grupo Pequeno,Vista,No,Familia,No
66,2025-11-20,60-69,Femenino,Malambo,Profesional,Celular Basico,Tablet,Datos Moviles,5,Comodo,Todos Los Dias,Ninguna,"Llamadas,Tramites","Miedo A Danar Celular,No Entiende Botones",Estafas,Tal Vez,Util,"Google Maps,Redes Sociales",Salud,"Miercoles,Lunes",Manana,3 Veces O Mas,1.5 Horas,21-40,Universidad,Individual,Audicion,Si,Universidad,No
